Policy,Policy key,Date,Turnover,TQQQ weight,QLD weight,Locked risk asset,Prior TQQQ volatility %
Entry-locked 50% TQQQ / 50% VOO,entry_half,2011-06-24,1.0,0.5,0.0,TQQQ,54.6964755574319
Entry-locked 50% TQQQ / 50% VOO,entry_half,2012-04-17,1.0,0.0,0.0,VOO,42.52044148335713
Entry-locked 50% TQQQ / 50% VOO,entry_half,2012-11-20,1.0,0.5,0.0,TQQQ,56.483964305748025
Entry-locked 50% TQQQ / 50% VOO,entry_half,2013-04-19,1.0,0.0,0.0,VOO,50.125053786217855
Entry-locked 50% TQQQ / 50% VOO,entry_half,2014-10-22,1.0,0.5,0.0,TQQQ,67.9661298049386
Entry-locked 50% TQQQ / 50% VOO,entry_half,2014-12-16,1.0,0.0,0.0,VOO,34.07276281811452
Entry-locked 50% TQQQ / 50% VOO,entry_half,2015-10-26,1.0,0.5,0.0,TQQQ,61.19433262384227
Entry-locked 50% TQQQ / 50% VOO,entry_half,2016-04-19,1.0,0.0,0.0,VOO,38.87126087160927
Entry-locked 50% TQQQ / 50% VOO,entry_half,2018-11-08,1.0,0.5,0.0,TQQQ,102.64437181349291
Entry-locked 50% TQQQ / 50% VOO,entry_half,2019-05-14,1.0,0.0,0.0,VOO,50.20878674772019
Entry-locked 50% TQQQ / 50% VOO,entry_half,2020-03-03,1.0,0.5,0.0,TQQQ,100.40500155791622
Entry-locked 50% TQQQ / 50% VOO,entry_half,2020-09-04,1.0,0.0,0.0,VOO,78.51699642924987
Entry-locked 50% TQQQ / 50% VOO,entry_half,2022-02-01,1.0,0.5,0.0,TQQQ,85.81570751727384
Entry-locked 50% TQQQ / 50% VOO,entry_half,2023-12-14,1.0,0.0,0.0,VOO,29.79996565605512
Entry-locked 50% TQQQ / 50% VOO,entry_half,2025-05-13,1.0,0.5,0.0,TQQQ,79.40017087759472
Entry-locked 50% TQQQ / 50% VOO,entry_half,2025-10-13,1.0,0.0,0.0,VOO,46.99001420573944
Entry-locked 50% TQQQ / 50% VOO,entry_half,2026-04-09,1.0,0.5,0.0,TQQQ,72.78170808514824
Entry-locked 50% TQQQ / 50% VOO,entry_half,2026-06-08,1.0,0.0,0.0,VOO,69.8382021642466
