Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_252_2017-09-11,19.306368324923074,19.30636832492363,-5.551115123125783e-13,17.68889639690645,2.254718619575441,-3.9526343314802315,11,0.0,0.0,252
rolling_252_2017-12-08,20.412943302816267,20.412943302816732,-4.662936703425657e-13,19.757333362273943,2.791269010041553,-2.5833026065035347,19,0.0,0.0,252
rolling_252_2018-03-13,18.73891720298102,18.73891720298102,0.0,19.214439545291228,1.7249479345156313,-10.088848332728716,-1,0.0,0.0,252
rolling_252_2018-06-12,16.935610312836502,16.935610312836236,2.6645352591003757e-13,16.428453509825623,1.3239593437477584,-10.088848332728706,-1,0.0,0.0,252
rolling_252_2018-09-11,18.326993717492734,18.326993717492492,2.4424906541753444e-13,17.960969817853712,1.4203371734376729,-10.088848332728674,167,0.0,0.0,252
rolling_252_2018-12-11,-14.388605998790238,1.3410922612906884,-15.729698260080927,-14.674278523505835,-0.3742169153896156,-28.498712169934482,-1,8.73015873015873,1.0,252
rolling_252_2019-03-14,-2.3941261398293334,3.6476869366554032,-6.041813076484736,-1.8784087277817996,0.17344532422362424,-48.73970832344799,-1,33.730158730158735,1.0,252
rolling_252_2019-06-13,1.9547185279686685,5.896660668099818,-3.9419421401311494,2.363659713179267,0.28163293439579634,-48.73970832344799,87,50.0,2.0,252
rolling_252_2019-09-12,2.3501100789036,6.3073395018500955,-3.9572294229464955,2.3401671370536947,0.29137001090503845,-48.73970832344797,87,50.0,2.0,252
rolling_252_2019-12-11,38.5257676827397,21.549027595703475,16.976740087036223,35.26134492671203,0.9965526434708649,-34.50432740982794,38,41.269841269841265,1.0,252
rolling_252_2020-03-13,-26.277475129015105,-1.804049991207013,-24.473425137808093,-28.144554602935855,-0.2503675788152425,-53.72568004753294,-1,19.841269841269842,2.0,252
rolling_252_2020-06-12,3.9903085877743605,7.188213007669075,-3.197904419894715,4.161464945839133,0.4957888552277816,-63.28862995478231,82,28.57142857142857,1.0,252
rolling_252_2020-09-11,64.58766485833397,13.142815041508626,51.44484981682533,64.91138262312172,1.02297767318917,-63.28862995478233,82,51.587301587301596,2.0,252
rolling_252_2020-12-10,72.99162907054684,18.919968325117352,54.07166074542948,71.80128545025899,1.0769086224248736,-63.28862995478233,82,51.587301587301596,2.0,252
rolling_252_2021-03-15,195.51050421403588,49.17653612481243,146.33396808922345,353.2595271162792,1.8281062806497572,-22.04627542103176,-1,48.01587301587302,1.0,252
rolling_252_2021-06-14,113.28708677126941,42.24601059513289,71.04107617613653,106.53488742318831,2.3151077912786504,-22.04627542103178,198,23.015873015873016,1.0,252
rolling_252_2021-09-13,35.78901302172228,35.78901302172199,2.886579864025407e-13,34.18165545051237,2.2914632451232366,-7.382920031274642,10,0.0,0.0,252
rolling_252_2021-12-10,30.29474153085696,30.29474153085698,-2.220446049250313e-14,30.58041231676807,2.1714173229664744,-5.093750682910104,16,0.0,0.0,252
rolling_252_2022-03-14,-26.464646638411704,6.645959708588256,-33.11060634699996,-26.521453377472547,-0.6966205732569627,-39.823885238529066,-1,11.507936507936508,1.0,252
rolling_252_2022-06-13,-60.4577670585821,-10.705264711498918,-49.75250234708318,-60.601385837301414,-1.0914783163133006,-65.15643194751453,-1,36.507936507936506,1.0,252
rolling_252_2022-09-13,-57.971257310349515,-10.699146591664931,-47.27211071868458,-57.87689107382601,-0.7048338568202621,-66.99824661115143,-1,61.50793650793651,1.0,252
rolling_252_2022-12-12,-66.71044651112636,-13.96380521390066,-52.74664129722571,-66.53808399827778,-0.750262031698205,-74.10887392008274,-1,86.5079365079365,1.0,252
rolling_252_2023-03-15,-41.721157818897034,-5.114303373476481,-36.60685444542055,-46.682087715724855,-0.12939073909621845,-74.03888077896552,-1,100.0,0.0,252
