Fold,Policy key,Train end,Test start,Test end,Test excess %,Test CAGR %,Test max drawdown %,Test Sharpe,Test turnover
9,current_tqqq,2023-09-08,2023-09-11,2024-09-08,17.854392987095324,36.81429608712894,-26.089006338352405,1.387804031146575,2.0
9,tqqq_target_60,2023-09-08,2023-09-11,2024-09-08,17.76838232506006,36.72983317801155,-26.089006338352373,1.3868379893356473,2.346014221843001
9,tqqq_target_50,2023-09-08,2023-09-11,2024-09-08,13.168606320115451,32.34368929994924,-25.871624692448837,1.2968999346989127,4.0976509921918876
9,tqqq_target_40,2023-09-08,2023-09-11,2024-09-08,12.800252109567257,32.67357121514931,-22.422780888786054,1.3991815813922894,5.557568624149644
9,tqqq_target_30,2023-09-08,2023-09-11,2024-09-08,10.443669373614517,31.031431802523656,-18.94628790900982,1.500200610175994,4.771476651163143
9,tqqq_high_vol_half,2023-09-08,2023-09-11,2024-09-08,12.879421605912555,31.929858219199048,-26.089006338352373,1.2764788045141906,6.0
9,tqqq_half,2023-09-08,2023-09-11,2024-09-08,9.245978158295308,30.11973054416439,-17.344159915349632,1.5645546767123246,1.0
9,qld_same_signal,2023-09-08,2023-09-11,2024-09-08,10.718470343705611,31.148280685136733,-17.563919462208368,1.5541038873405066,2.0
9,tqqq_qld_mix,2023-09-08,2023-09-11,2024-09-08,14.361252424195946,34.069788807487924,-21.901065460993618,1.4627579026401463,2.0
9,leverage_ladder,2023-09-08,2023-09-11,2024-09-08,12.869394148452852,31.920015338224395,-26.089006338352373,1.2743264201103155,10.0
10,current_tqqq,2024-09-06,2024-09-09,2025-09-08,30.945283279076197,51.12057840318911,-18.689404677475054,1.683978373614882,2.0
10,tqqq_target_60,2024-09-06,2024-09-09,2025-09-08,29.306742017961575,49.49244149163916,-18.689404677475018,1.6502964200275714,2.025098775095549
10,tqqq_target_50,2024-09-06,2024-09-09,2025-09-08,27.988783598891697,48.182895801860525,-18.689404677475018,1.635549062240399,2.5976792512108675
10,tqqq_target_40,2024-09-06,2024-09-09,2025-09-08,25.830463812011196,46.038438596261756,-18.689404677475018,1.6134381531522644,3.4755660159955744
10,tqqq_target_30,2024-09-06,2024-09-09,2025-09-08,20.49018305046082,40.73292427506663,-18.689404677475018,1.560553280279663,4.21368018054537
10,tqqq_high_vol_half,2024-09-06,2024-09-09,2025-09-08,27.94944330140712,48.14380722650229,-18.689404677475018,1.6219892395334459,2.0
10,tqqq_half,2024-09-06,2024-09-09,2025-09-08,15.113818919459554,35.39225309070246,-18.689404677475018,1.535394541249455,1.0
10,qld_same_signal,2024-09-06,2024-09-09,2025-09-08,16.09575033936206,36.36761260995025,-18.689404677475018,1.5377160651587722,2.0
10,tqqq_qld_mix,2024-09-06,2024-09-09,2025-09-08,23.435150987313502,43.658636758588564,-18.689404677475018,1.6265197902303037,2.0
10,leverage_ladder,2024-09-06,2024-09-09,2025-09-08,28.011709841496124,48.20567536529259,-18.689404677475018,1.6219320756908149,4.0
11,current_tqqq,2025-09-08,2025-09-09,2026-09-08,66.52278388097548,85.07101779815689,-16.246275263047295,2.2122772037945784,6.0
11,tqqq_target_60,2025-09-08,2025-09-09,2026-09-08,61.17415167015066,79.73650047093143,-16.246275263047295,2.1413706162628863,6.218460803300161
11,tqqq_target_50,2025-09-08,2025-09-09,2026-09-08,56.02884141812763,74.60527970937004,-16.246275263047295,2.0749537293418343,6.435393466872949
11,tqqq_target_40,2025-09-08,2025-09-09,2026-09-08,46.945315509641986,65.54789678064236,-14.72776807704136,2.0077596312634194,6.775705694488412
11,tqqq_target_30,2025-09-08,2025-09-09,2026-09-08,35.39711775869194,54.200076175482614,-11.841611111787087,1.924373668245292,6.095949842311316
11,tqqq_high_vol_half,2025-09-08,2025-09-09,2026-09-08,50.524544196567355,69.11662674564074,-16.246275263047284,1.9980795350261327,6.0
11,tqqq_half,2025-09-08,2025-09-09,2026-09-08,30.423716537867463,49.50483708245726,-9.696373241935207,2.1070845736785735,3.0
11,qld_same_signal,2025-09-08,2025-09-09,2026-09-08,36.75018329605351,55.81241364491769,-10.932059787708825,2.1593591661613067,6.0
11,tqqq_qld_mix,2025-09-08,2025-09-09,2026-09-08,51.15422610663218,69.97817830391399,-13.608960320536168,2.195793205169552,6.0
11,leverage_ladder,2025-09-08,2025-09-09,2026-09-08,52.713144971134774,71.29893517773776,-16.246275263047274,2.030391780230173,8.0
